Designator,Footprint,Quantity,Value,LCSC Part #
J1,Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,1,Conn_01x20,
SW1,SW_BUTTON_SoftTactile,1,Left,
SW10,SW_BUTTON_SoftTactile,1,Vol_Up,
SW11,SW_BUTTON_SoftTactile,1,Vol_Down,
SW2,SW_BUTTON_SoftTactile,1,Right,
SW3,SW_BUTTON_SoftTactile,1,Up,
SW4,SW_BUTTON_SoftTactile,1,Down,
SW5,SW_BUTTON_SoftTactile,1,Return,
SW6,SW_BUTTON_SoftTactile,1,Fn_1,
SW7,SW_BUTTON_SoftTactile,1,Fn_2,
SW8,SW_BUTTON_SoftTactile,1,Fn_3,
SW9,SW_BUTTON_SoftTactile,1,Fn_4,
